Chinese,PinYin,Direct Translation,Explaination,Sentence
画蛇添足,hua4 she2 tian1 zu2,Draw a snake and add feet to it,Spoil the show by doing something quite superfluous,他本来画得很好，但最后画蛇添足，加了不必要的装饰。
狐假虎威,hu2 jia3 hu3 wei1,fox assuming tiger’s ferocity,Act outrageously on the strength of one’s powerful connections,那个人总是狐假虎威，靠着老板的权势欺负别人。
盲人摸象,mang2 ren2 mo1 xiang4,blind people try to size up an elephant,Take a part for the whole,我们不能盲人摸象，要了解事情的全貌。
坐井观天,zuo4 jing3 guan1 tian1,Looking at the sky from the bottom of a well,To have a narrow view; to have a restricted outlook,如果只待在家里，你会坐井观天，无法了解外面的世界。
老马识途,lao3 ma3 shi2 tu2,an old horse knows the way,an old hand is always a good guide,在困难的时候，我们需要像他这样的老马识途的专家。
拔苗助长,ba2 miao2 zhu4 zhang3,to pull the shoots to help them grow,to spoil something with a desire for quick success,教育孩子要有耐心，不能拔苗助长。
对牛弹琴,dui4 niu2 tan2 qin2,play the lute to a cow,Address the wrong audience; talk over someone’s head,他对牛弹琴，试图向不感兴趣的人解释复杂的理论。
守株待兔,shou3 zhu1 dai4 tu4,To stand by a tree stump waiting for a hare.,To wait for windfalls; to trust to chance rather than show initiative,成功需要努力，不能守株待兔。
纸上谈兵,zhi3 shang4 tan2 bing1,Discussing military tactics on paper,to have unrealistic ideas; talks armchair strategies,如果只是纸上谈兵，而不实际行动，计划永远无法实现。
指鹿为马,zhi3 lu4 wei2 ma3,Calling a stag a horse,Deliberately misrepresenting,历史上有许多指鹿为马的例子，让人不敢相信自己的眼睛。
自相矛盾,zi4 xiang1 mao2 dun4,The (best) spear against the (best) shield.,To say or do something to contradict oneself; Selfcontradictory,他说话前后不一致，经常自相矛盾。
以毒攻毒,yi3 du2 gong1 du2,use poison as an antidote for poison,Set a thief to catch a thief,医生用一种病毒以毒攻毒，成功治好了病人。
入乡随俗,ru4 xiang1 sui2 su2,"When you enter a village, follow the local customs","When in Rome, do as the Romans do",在国外生活时，要学会入乡随俗，尊重当地文化。
一箭双雕,yi1 jian4 shuang1 diao1,To shoot two hawks with one arrow,To kill two birds with one stone,这个计划不仅能省钱，还能提高效率，真是一箭双雕。
覆水难收,fu4 shui3 nan2 shou1,Water poured out is hard to put back into the container,Things done cannot be undone,后悔是没有用的，覆水难收。
唇亡齿寒,chun2 wang2 chi3 han2,The teeth will feel cold if lips are gone,This expression describes closely related interests. The first cannot survive without the second,两国的关系密切，唇亡齿寒。
如鱼得水,ru2 yu2 de2 shui3,like a fish back in water,Be in congenial company or do congenial work,他在新公司如鱼得水，工作非常顺利。
青出于蓝,qing1 chu1 yu2 lan2,"Indigo came out of blue, but is prettier than blue",the pupil often surpasses the master,他的表现真是青出于蓝，让老师感到骄傲。
志同道合,zhi4 tong2 dao4 he2,"Same aspirations, conforming goals",Have a common goal; likeminded,他们是志同道合的朋友，一起创业。
亡羊补牢,wang2 yang2 bu3 lao2,to mend the pen after sheep are lost,better late than never,虽然犯了错误，但能亡羊补牢，问题还是解决了。
饮水思源,yin3 shui3 si1 yuan2,Don’t forget about the source of the water you are drinking,One should keep in mind the source of one's joy while in happiness,我们要饮水思源，感恩父母的养育之恩。
胸有成竹,xiong1 you3 cheng2 zhu2,in one’s chest there is a fully developed bamboo,Have an overall consideration of something before any action is taken; have a well-thoughtout plan,他对考试充满信心，胸有成竹。
掩耳盗铃,yan3 er3 dao4 ling2,to cover one's ears whilst stealing a bell,to bury one's head in the sand like an ostrich,他明知道失败了，还掩耳盗铃，自欺欺人。
打草惊蛇,da3 cao3 jing1 she2,beat the grass to scare the snake,Act rashly and alert the enemy,我们要小心行事，不要打草惊蛇。
四海为家,si4 hai3 wei2 jia1,to regard the four corners of the world all as home,Make one’s home no matter where one lives and works,他是个旅行家，四海为家。
